an_iter,KL_loss,attr_loss,recn_loss,net_loss
0,1.3733641,0.0,-622.0444,-623.4177
100,1.3820404,0.0,-222.30219,-223.68423
200,0.9796636,0.0,-193.5632,-194.54283
300,1.5405775,0.0,-190.86504,-192.40562
400,2.1145687,0.0,-179.68549,-181.80008
500,2.1984653,0.0,-186.0209,-188.21933
600,2.4680622,0.0,-173.46844,-175.93646
700,2.5876617,0.0,-173.98813,-176.57578
800,2.721069,0.0,-165.94902,-168.6701
900,2.7686713,0.0,-166.18849,-168.95717
1000,2.7191007,0.0,-176.08553,-178.80464
1100,3.5960593,0.0,-160.47455,-164.07062
1200,3.0353,0.0,-163.42203,-166.45732
1300,3.7336292,0.0,-171.4418,-175.17545
1400,3.2704177,0.0,-158.07687,-161.34727
1500,3.7529507,0.0,-165.14342,-168.89636
1600,3.3306,0.0,-157.59854,-160.92914
1700,3.7919462,0.0,-160.51878,-164.31075
1800,3.577842,0.0,-160.63481,-164.21266
1900,4.154489,0.0,-152.86362,-157.01811
2000,4.06297,0.0,-157.06453,-161.1275
2100,4.6007323,0.0,-158.36517,-162.96591
2200,4.1416917,0.0,-162.33795,-166.47963
2300,4.157539,0.0,-157.19234,-161.34988
2400,4.7396398,0.0,-159.7043,-164.44394
2500,5.2210536,0.0,-157.51027,-162.73132
2600,5.7418046,0.0,-152.07773,-157.81953
2700,5.159998,0.0,-150.8465,-156.0065
2800,5.28263,0.0,-168.96513,-174.24776
2900,5.216383,0.0,-158.00072,-163.21709
3000,5.1990523,0.0,-150.79544,-155.9945
3100,5.6355343,0.0,-150.39417,-156.0297
3200,5.6688914,0.0,-152.44855,-158.11745
3300,5.4409013,0.0,-151.36076,-156.80165
3400,5.597671,0.0,-156.30435,-161.90202
3500,5.8035626,0.0,-155.8311,-161.63467
3600,6.074434,0.0,-156.73889,-162.81332
3700,5.9377804,0.0,-150.83327,-156.77106
3800,5.825394,0.0,-160.87822,-166.70363
3900,6.5631957,0.0,-151.48851,-158.05173
4000,6.1835895,0.0,-159.95395,-166.13751
4100,6.208514,0.0,-150.61252,-156.82103
4200,6.5228643,0.0,-153.9411,-160.46397
4300,6.556073,0.0,-155.5975,-162.15358
4400,6.1759233,0.0,-143.92247,-150.09839
4500,6.481334,0.0,-147.05309,-153.53442
4600,6.332164,0.0,-148.30724,-154.63939
4700,6.4607115,0.0,-148.24617,-154.70688
4800,6.3342614,0.0,-161.095,-167.42928
4900,6.6203914,0.0,-149.30405,-155.92444
5000,6.6402035,0.0,-152.04483,-158.68504
5100,6.642085,0.0,-149.28209,-155.92416
5200,6.887045,0.0,-145.96092,-152.84796
5300,7.1662707,0.0,-148.13763,-155.3039
5400,6.551814,0.0,-141.46643,-148.01825
5500,7.137894,0.0,-151.3764,-158.51428
5600,7.4926634,0.0,-146.24261,-153.73528
5700,6.874461,0.0,-151.45123,-158.3257
5800,7.1537066,0.0,-152.19742,-159.35112
5900,7.308783,0.0,-153.06168,-160.37045
6000,6.594995,0.0,-148.14684,-154.74184
6100,6.7572937,0.0,-154.63158,-161.38887
6200,7.2130146,0.0,-146.77231,-153.98534
6300,7.4555163,0.0,-147.23505,-154.69057
6400,7.4297395,0.0,-151.93803,-159.36778
6500,7.071915,0.0,-141.42577,-148.49768
6600,7.230971,0.0,-150.83035,-158.06133
6700,7.8330164,0.0,-144.66486,-152.49786
6800,7.5745287,0.0,-146.48242,-154.05695
6900,7.76853,0.0,-153.36823,-161.13676
7000,7.689945,0.0,-151.68622,-159.37616
7100,7.566101,0.0,-144.79391,-152.36002
7200,7.4057426,0.0,-142.94112,-150.34686
7300,8.254508,0.0,-140.9377,-149.1922
7400,8.052312,0.0,-146.87494,-154.92723
7500,7.969173,0.0,-144.99326,-152.96242
7600,7.6203527,0.0,-141.23454,-148.85486
7700,7.616233,0.0,-147.28313,-154.89935
7800,7.4784756,0.0,-144.19048,-151.66896
7900,7.5606556,0.0,-149.04561,-156.60625
8000,7.930523,0.0,-152.6224,-160.55292
8100,8.010009,0.0,-145.28242,-153.29242
8200,7.9062514,0.0,-139.88786,-147.7941
8300,7.8221326,0.0,-145.45694,-153.27905
8400,7.88765,0.0,-151.71576,-159.6034
8500,8.187235,0.0,-159.79465,-167.98192
8600,7.6883264,0.0,-152.9283,-160.61662
8700,7.898366,0.0,-142.05829,-149.95663
8800,7.9266953,0.0,-149.534,-157.46071
8900,8.477395,0.0,-143.94669,-152.42407
9000,7.6206536,0.0,-143.91858,-151.53923
9100,8.014939,0.0,-147.72298,-155.73792
9200,7.5031543,0.0,-146.61745,-154.12062
9300,7.589981,0.0,-137.38126,-144.97122
9400,7.904472,0.0,-142.09807,-150.00253
9500,8.09734,0.0,-143.48082,-151.57817
9600,8.0742445,0.0,-150.84766,-158.92189
9700,8.2107935,0.0,-145.42984,-153.64064
9800,8.087279,0.0,-145.3341,-153.42139
9900,8.460347,0.0,-140.94547,-149.4058
10000,8.133748,0.0,-144.04274,-152.17648
10100,7.478936,0.0,-142.51746,-149.9964
10200,7.9499454,0.0,-155.78691,-163.73686
10300,7.623357,0.0,-148.6291,-156.25247
10400,7.8964357,0.0,-141.59016,-149.48659
10500,8.66128,0.0,-143.84283,-152.5041
10600,8.096072,0.0,-146.17365,-154.26971
10700,8.188979,0.0,-145.34586,-153.53482
10800,8.684364,0.0,-142.31891,-151.00328
10900,8.237902,0.0,-137.89285,-146.13075
11000,8.496698,0.0,-151.20844,-159.70514
