an_iter,KL_loss,attr_loss,recn_loss,net_loss
0,0.9624559,4.2793813,-643.53467,-644.49713
750,4.2472625,3.8376005,-186.96626,-191.21358
1500,6.49969,3.8053892,-188.50386,-195.00356
2250,7.498589,3.9442375,-190.94977,-198.44833
3000,7.377967,3.922316,-166.50385,-173.88184
3750,7.756271,3.7690012,-189.60635,-197.36261
4500,8.927317,3.8249884,-187.18855,-196.11588
5250,9.860854,3.8563607,-179.05289,-188.91376
6000,10.084879,3.7445693,-178.9347,-189.01955
6750,10.939012,3.8362777,-180.66003,-191.59904
7500,11.281556,3.6609046,-170.06137,-181.34293
8250,12.075125,3.8940666,-173.1684,-185.24352
9000,12.185871,3.7793484,-170.1966,-182.38246
9750,12.479528,3.6591206,-172.81308,-185.2926
10500,13.4815235,3.7334664,-174.79918,-188.28069
11250,13.30979,3.767818,-166.19197,-179.50177
12000,12.8908415,3.7521582,-175.70418,-188.59506
12750,13.488887,3.5519083,-164.78545,-178.27434
13500,13.290962,3.7461681,-175.40953,-188.70049
14250,14.253173,3.8354754,-170.65466,-184.90784
15000,14.304539,3.7054465,-170.94887,-185.25342
15750,14.528794,3.7059772,-175.6769,-190.2057
16500,14.277677,3.817411,-161.69212,-175.9698
17250,14.031812,3.702388,-167.29799,-181.3298
18000,15.322799,3.7385798,-162.96457,-178.28738
18750,14.909094,3.9669077,-156.40327,-171.31241
19500,14.131138,3.7325513,-173.62898,-187.76012
20250,14.830276,3.6470487,-168.9988,-183.8291
21000,14.913675,3.8467078,-165.5406,-180.45428
21750,15.386703,4.010909,-166.26868,-181.65536
22500,15.191357,3.7996016,-177.99684,-193.18819
23250,15.404756,3.8087745,-181.68933,-197.0941
24000,14.809941,3.7834253,-161.21889,-176.02885
24750,15.90353,3.676869,-156.52849,-172.43204
25500,14.8710165,3.6930192,-157.7939,-172.66492
26250,14.93271,3.6517472,-165.07176,-180.00447
27000,16.367237,3.8107965,-173.35754,-189.72476
27750,15.770259,3.7894835,-162.39874,-178.16902
28500,15.941137,3.7150717,-167.09467,-183.03578
29250,15.748222,3.833957,-158.37238,-174.12062
30000,16.266243,3.902464,-170.48799,-186.75424
30750,15.66561,3.7922552,-171.4442,-187.1098
31500,16.347015,3.6694078,-166.64832,-182.99533
32250,16.016369,3.937428,-170.48138,-186.49776
33000,16.130714,3.7452,-171.61906,-187.74979
33750,16.793486,3.7956512,-174.10556,-190.89906
34500,16.518827,3.843241,-161.73492,-178.25372
35250,16.112452,3.7251642,-164.50421,-180.61668
36000,17.013237,3.8136904,-165.22064,-182.23387
36750,15.857622,3.6763134,-159.90016,-175.7578
37500,16.577791,3.9605682,-162.8814,-179.45917
38250,16.919176,3.9832623,-160.27402,-177.19322
39000,16.198486,3.8635876,-162.71597,-178.91446
39750,15.868355,3.7583637,-169.67905,-185.54736
40500,15.801966,3.74413,-177.08655,-192.88849
41250,16.661537,3.825231,-163.22386,-179.88539
42000,16.600838,3.8743405,-164.25894,-180.8598
42750,16.231981,3.720585,-167.16078,-183.39273
43500,15.836254,3.6834512,-167.60907,-183.44531
44250,17.194403,3.8068082,-163.56798,-180.7624
45000,16.433506,3.890094,-165.83371,-182.26723
45750,16.721746,3.7811875,-165.04214,-181.76389
46500,16.842476,3.850546,-161.67303,-178.5155
47250,17.06153,3.897135,-164.97418,-182.03572
48000,16.93116,3.860982,-165.59642,-182.52756
48750,16.933495,3.7051842,-165.83928,-182.77275
49500,16.00396,3.9994438,-168.40302,-184.40695
50250,16.866947,3.6304824,-171.31493,-188.18184
51000,17.20661,3.6758637,-172.90742,-190.11403
51750,17.349792,3.9127786,-169.84966,-187.19942
52500,16.663666,3.787897,-162.32924,-178.99289
53250,16.429752,3.7057235,-167.56143,-183.99113
